session_id,condition,timing,mode,num_rounds,bloc_ask_slope,pre_swap_slope,post_swap_slope,session_judge_bloc,session_ci_bloc,session_ci_market,final_window_ci_bloc,session_f_bloc,t_star,swap_round,excluded_from_swap_analysis,delta_ci,time_to_disruption,censored
rq1_e0_all_gpt41_0,e0_all_gpt41,,,30,-0.06335653235653325,,,4.0,0.3211111111111113,0.3211111111111113,0.21499999999999972,0.9703703703703703,8.0,,False,,,
rq1_e0_all_gpt41_1,e0_all_gpt41,,,30,-0.19752258852259003,,,3.9833333333333334,-0.42860000000000004,-0.42860000000000004,-0.5513999999999996,0.02962962962962963,8.0,,False,,,
rq1_e0_all_gpt41_2,e0_all_gpt41,,,30,-0.06014041514041789,,,3.925,-0.3387703703703707,-0.3387703703703707,-0.4150000000000006,0.0,8.0,,False,,,
rq1_e0_all_gpt41_3,e0_all_gpt41,,,30,-0.01739316239316281,,,3.876190476190476,-0.5285925925925925,-0.5285925925925925,-0.5409999999999997,0.0,8.0,,False,,,
rq1_e0_all_gpt41_4,e0_all_gpt41,,,30,-0.19911843711844013,,,3.9304347826086956,-0.2966962962962963,-0.2966962962962963,-0.5158000000000001,0.0,8.0,,False,,,
rq1_e0_all_gpt41_5,e0_all_gpt41,,,30,-0.030644688644689767,,,3.977777777777778,-0.12091111111111111,-0.12091111111111111,-0.1470399999999995,0.0,8.0,,False,,,
rq1_e0_all_gpt41_6,e0_all_gpt41,,,30,0.0008888888888870854,,,3.888888888888889,-0.5897703703703705,-0.5897703703703705,-0.5879200000000002,0.0,8.0,,False,,,
rq1_e0_all_gpt41_7,e0_all_gpt41,,,30,-0.16993406593406743,,,3.977777777777778,0.35860740740740726,0.35860740740740726,0.06388000000000005,0.9185185185185185,8.0,,False,,,
rq1_e0_all_gpt41_8,e0_all_gpt41,,,30,0.01890109890109686,,,3.9185185185185185,-0.7749407407407407,-0.7749407407407407,-0.75412,0.0,8.0,,False,,,
rq1_e0_all_gpt41_9,e0_all_gpt41,,,30,-0.010468864468866666,,,3.977777777777778,-0.362148148148148,-0.362148148148148,-0.3719999999999999,0.0,8.0,,False,,,
rq1_e0_mixed_0,e0_mixed,,,30,-0.0921343101343126,,,3.251851851851852,-0.4282814814814815,-0.4282814814814815,-0.4536000000000001,0.0,8.0,,False,,,
rq1_e0_mixed_1,e0_mixed,,,30,0.00168009768009725,,,3.362962962962963,-0.6262,-0.6262,-0.60552,0.0,8.0,,False,,,
rq1_e0_mixed_2,e0_mixed,,,30,-0.11431135531135717,,,3.651851851851852,-0.47322962962962967,-0.47322962962962967,-0.5253599999999997,0.0,8.0,,False,,,
rq1_e0_mixed_3,e0_mixed,,,30,-0.33293650793651025,,,3.7555555555555555,-0.17164444444444452,-0.17164444444444452,-0.3706000000000003,0.2962962962962963,8.0,,False,,,
rq1_e0_mixed_4,e0_mixed,,,30,-0.1523626373626379,,,3.6074074074074076,-0.4775851851851854,-0.4775851851851854,-0.5631200000000001,0.0,8.0,,False,,,
rq1_e0_mixed_5,e0_mixed,,,30,-0.043307692307694594,,,3.696296296296296,-0.3343259259259259,-0.3343259259259259,-0.34379999999999994,0.0,8.0,,False,,,
rq1_e0_mixed_6,e0_mixed,,,30,-0.40514529914530045,,,3.859259259259259,-0.2589851851851852,-0.2589851851851852,-0.5549599999999998,0.14814814814814814,8.0,,False,,,
rq1_e0_mixed_7,e0_mixed,,,30,-0.4987716727716723,,,3.6444444444444444,-0.1409481481481481,-0.1409481481481481,-0.5416400000000001,0.3333333333333333,8.0,,False,,,
rq1_e0_mixed_8,e0_mixed,,,30,-0.09394627594627616,,,3.4296296296296296,-0.6276740740740739,-0.6276740740740739,-0.65192,0.0,8.0,,False,,,
rq1_e0_mixed_9,e0_mixed,,,30,-0.45895970695970995,,,3.762962962962963,-0.058674074074074115,-0.058674074074074115,-0.4651200000000003,0.2962962962962963,8.0,,False,,,
rq1_e1_gpt_vocal_r0_0,e1_gpt_vocal_r0,round0,vocal,30,-0.042829670329671936,,,2.9722222222222223,-0.645,-0.6450222222222223,-0.6921499999999997,0.0,12.0,,False,,,
rq1_e1_gpt_vocal_r0_1,e1_gpt_vocal_r0,round0,vocal,30,-0.04347527472527465,,,1.537037037037037,-0.8259166666666666,-0.8259555555555553,-0.8730999999999998,0.0,,,False,,,
rq1_e1_gpt_vocal_r0_2,e1_gpt_vocal_r0,round0,vocal,30,-0.04841727716727793,,,3.009259259259259,-0.6553888888888889,-0.655651851851852,-0.7041499999999999,0.0,13.0,,False,,,
rq1_e1_gpt_vocal_r0_3,e1_gpt_vocal_r0,round0,vocal,30,-0.04398199023199147,,,2.7037037037037037,-0.5589382716049384,-0.5589055555555555,-0.6075500000000003,0.0,8.0,,False,,,
rq1_e1_gpt_vocal_r0_4,e1_gpt_vocal_r0,round0,vocal,30,-0.042689255189255204,,,2.009259259259259,-0.6936111111111113,-0.6936666666666669,-0.7403,0.0,15.0,,False,,,
rq1_e1_gpt_vocal_r0_5,e1_gpt_vocal_r0,round0,vocal,30,0.025557081807080113,,,2.740740740740741,-0.49551851851851847,-0.49299999999999994,-0.49444999999999995,0.0,15.0,,False,,,
